identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency
577,15,10,12,3,199.73436342592592
578,18,4,9,9,102.25311973905724
579,166,26,119,47,191.17359427339636
580,40,6,28,12,915.2652400158996
581,50,12,26,24,514.4233445216049
583,17,8,9,8,211.70715277777776
584,19,8,10,9,268.7042158564815
585,3,1,2,1,64.0
586,8,2,7,1,1031.9859920634922
588,2,1,1,1,0.10319444444444445
589,76,20,42,34,2.9963523148148155
590,42,6,36,6,503.4236082267784
591,143,40,72,71,310.87500128417105
592,14,4,7,7,121.84114583333333
593,59,9,25,34,336.472011597456
594,5,2,3,2,27.999953703703703
595,17,6,10,7,197.57731018518515
596,15,3,7,8,1413.0264621913582
597,82,21,45,37,335.2185620590829
598,69,13,61,8,531.0213488310123
600,54,8,42,12,628.6265443948413
601,17,4,9,8,41.72676504629629
602,80,17,29,51,390.42294082633055
603,78,7,64,14,578.4923941965675
604,7,3,4,3,747.26875
605,11,2,8,3,145.15291666666667
606,38,17,26,12,931.4024001322751
607,40,3,31,9,700.9392215042582
608,18,11,16,2,246.0678587962963
609,10,7,9,1,1864.1591666666668
610,16,4,12,4,982.808201388889
611,16,4,13,3,1332.8070138888888
612,166,70,83,83,145.05080522486773
613,150,29,76,74,81.30262434644995
614,65,24,54,11,1468.9316162037037
616,36,11,22,14,856.445817271353
617,38,15,19,19,32.071466049382714
618,79,9,42,37,130.57802280743945
619,171,16,97,74,10.83115037183592
620,9,4,8,1,1005.885138888889
621,7,6,6,1,0.10777777777777778
622,91,26,57,34,558.8672835351376
623,16,6,9,7,1456.2827777777777
624,21,7,15,6,1261.8236468253967
626,287,50,170,117,817.4220941768817
627,17,8,9,8,148.2452876984127
628,3,2,2,1,156.20805555555555
629,2,1,1,1,1.1143055555555557
630,3,1,2,1,0.1948148148148148
631,21,4,19,2,670.6405762235449
632,18,5,7,11,841.0060194444446
633,63,20,33,30,461.8441640946502
634,23,15,18,5,1467.791216931217
636,10,3,6,4,158.7347839506173
637,23,8,12,11,127.37970734126985
638,40,7,22,18,479.38951955782306
639,4,2,2,2,4775.999930555556
640,5,3,4,1,0.616574074074074
641,4,2,3,1,2529.3596296296296
643,89,7,50,39,56.508928588236934
644,19,8,18,1,1157.3175115740742
645,8,4,4,4,144.23145833333334
646,34,5,27,7,267.75282916666663
647,1584,30,809,775,56.45111364710565
648,1216,72,633,583,114.07510981157073
651,194,36,110,84,399.3065400350624
652,30,5,16,14,194.07871296296295
653,13,7,7,6,1771.8574074074074
655,92,16,47,45,244.10990385627105
656,28,4,20,8,604.9413469328704
657,15,6,8,7,942.1594097222222
658,10,3,8,2,1434.628601851852
659,19,3,9,10,313.5897901234568
660,484,19,393,91,175.48273208156772
661,49,8,47,2,1119.524128863035
662,53,8,36,17,657.2433326903292
