identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency,Cluster
949,125,30,74,51,163.17578,Cluster 3
950,15,6,6,9,66.18665,Cluster 3
955,36,8,19,17,201.05173,Cluster 3
957,23,5,12,11,165.20683,Cluster 3
960,12,6,11,1,905.2591,Cluster 3
961,27,8,13,14,159.97894,Cluster 3
963,321,27,181,140,37.458187,Cluster 3
965,23,6,12,11,524.3004,Cluster 3
967,74,22,39,35,236.78972,Cluster 3
968,9,8,8,1,0.0095833335,Cluster 3
969,18,7,10,8,337.89835,Cluster 3
970,40,12,24,16,215.01562,Cluster 3
971,47,8,38,9,206.32347,Cluster 3
972,137,42,86,51,113.88061,Cluster 3
973,35,9,20,15,352.49048,Cluster 3
974,8,4,5,3,416.02045,Cluster 3
975,30,7,29,1,1000.2683,Cluster 3
977,173,14,122,51,273.90067,Cluster 3
978,17,9,14,3,165.81564,Cluster 3
979,20,9,12,8,578.6198,Cluster 3
980,56,8,30,26,34.4249,Cluster 3
981,84,8,70,14,648.1725,Cluster 3
984,52,18,28,24,20.356903,Cluster 3
985,44,18,26,18,71.677864,Cluster 3
986,65,14,37,28,171.93707,Cluster 3
987,18,4,9,9,534.0666,Cluster 3
990,52,13,31,21,272.56885,Cluster 3
991,80,13,57,23,68.01006,Cluster 3
993,6,3,4,2,1007.92554,Cluster 3
994,11,4,6,5,422.37067,Cluster 3
995,51,8,33,18,8.579393,Cluster 3
996,22,7,21,1,940.35376,Cluster 3
997,3,2,2,1,0.45,Cluster 3
998,28,11,18,10,53.206665,Cluster 3
1000,27,2,14,13,565.1539,Cluster 3
1001,78,31,42,36,682.1087,Cluster 3
1002,33,7,21,12,187.59056,Cluster 3
1003,20,8,11,9,117.82051,Cluster 3
1004,5,2,3,2,238.56792,Cluster 3
1005,30,8,18,12,714.988,Cluster 3
1006,23,12,12,11,215.0077,Cluster 3
1008,4,3,3,1,0.068333335,Cluster 3
1009,45,15,26,19,191.43274,Cluster 3
1012,13,4,7,6,167.65768,Cluster 3
1013,15,6,10,5,488.74237,Cluster 3
1014,31,14,16,15,368.02902,Cluster 3
1015,110,15,64,46,131.39055,Cluster 3
1021,81,7,60,21,632.7742,Cluster 3
1025,16,4,8,8,99.03666,Cluster 3
1026,116,15,108,8,255.9235,Cluster 3
1027,3,2,2,1,0.76569444,Cluster 3
1028,21,7,11,10,448.62073,Cluster 3
1029,60,14,57,3,496.31854,Cluster 3
1031,7,3,3,4,82.08177,Cluster 3
1032,9,5,5,4,758.80084,Cluster 3
1033,40,3,20,20,45.183517,Cluster 3
1034,96,18,52,44,160.98988,Cluster 3
1036,61,8,54,7,582.2694,Cluster 3
1037,6,3,3,3,56.566113,Cluster 3
1039,7,2,5,2,775.28265,Cluster 3
1040,7,3,4,3,75.49911,Cluster 3
1041,82,11,42,40,157.025,Cluster 3
1042,3,2,2,1,0.2661111,Cluster 3
1043,8,3,6,2,513.5468,Cluster 3
1045,57,18,30,27,702.749,Cluster 3
1046,82,15,41,41,70.563515,Cluster 3
1047,104,13,52,52,52.391552,Cluster 3
1050,31,6,19,12,530.28723,Cluster 3
1051,67,12,29,38,401.17242,Cluster 3
1052,34,10,17,17,133.3821,Cluster 3
1053,54,14,27,27,161.27731,Cluster 3
1057,94,18,48,46,256.8134,Cluster 3
1058,21,5,11,10,187.68237,Cluster 3
1060,54,14,47,7,705.0217,Cluster 3
1061,20,7,11,9,301.49323,Cluster 3
1062,9,7,7,2,54.854095,Cluster 3
1063,9,4,7,2,102.03421,Cluster 3
1065,8,4,6,2,31.895247,Cluster 3
1066,4,2,3,1,24.764862,Cluster 3
1067,183,7,137,46,88.669815,Cluster 3
1068,14,6,8,6,1086.467,Cluster 3
1070,26,6,14,12,434.86334,Cluster 3
1071,28,9,15,13,400.81244,Cluster 3
1073,34,7,21,13,140.79813,Cluster 3
1074,32,4,20,12,983.02905,Cluster 3
1075,130,6,100,30,166.20993,Cluster 3
1076,17,1,15,2,22.793007,Cluster 3
1077,42,10,27,15,364.34564,Cluster 3
1078,12,6,6,6,505.7327,Cluster 3
1079,14,4,7,7,65.33165,Cluster 3
1080,11,2,7,4,760.32904,Cluster 3
1081,11,4,6,5,319.2361,Cluster 3
1084,47,5,21,26,98.29205,Cluster 3
1085,52,5,26,26,86.92693,Cluster 3
1086,110,15,60,50,20.330896,Cluster 3
1087,3,2,2,1,0.97375,Cluster 3
1089,183,16,93,90,73.59845,Cluster 3
1091,125,19,63,62,72.9912,Cluster 3
1092,30,6,15,15,181.10712,Cluster 3
1093,21,3,11,10,62.904003,Cluster 3
1094,71,14,40,31,213.24178,Cluster 3
1095,4,1,2,2,155.05083,Cluster 3
1096,50,15,27,23,439.29565,Cluster 3
1097,147,41,74,73,228.74002,Cluster 3
1098,30,9,16,14,239.25206,Cluster 3
1099,131,24,92,39,170.62662,Cluster 3
1101,19,6,12,7,709.006,Cluster 3
1102,44,12,27,17,262.37408,Cluster 3
1103,378,30,204,174,232.19199,Cluster 3
1104,355,30,188,167,128.54996,Cluster 3
1106,14,8,9,5,91.04389,Cluster 3
1107,88,12,45,43,42.05283,Cluster 3
1108,112,24,64,48,273.6075,Cluster 3
1109,135,28,84,51,181.70583,Cluster 3
1112,14,2,8,6,193.89133,Cluster 3
1113,11,6,10,1,98.49499,Cluster 3
1116,35,6,17,18,516.6988,Cluster 3
1117,20,6,10,10,188.15068,Cluster 3
1118,10,3,7,3,523.4065,Cluster 3
1119,27,6,22,5,609.02423,Cluster 3
1120,3,2,2,1,0.04625,Cluster 3
1121,31,10,25,6,652.5594,Cluster 3
1122,26,8,14,12,70.71994,Cluster 3
1125,57,12,28,29,174.53764,Cluster 3
1128,119,28,66,53,23.577862,Cluster 3
1129,12,3,6,6,528.5144,Cluster 3
1130,76,13,39,37,36.98265,Cluster 3
1132,5,2,2,3,728.57764,Cluster 3
1134,38,9,21,17,282.76096,Cluster 3
1136,258,32,136,122,38.90011,Cluster 3
1137,10,3,6,4,382.5959,Cluster 3
1138,275,27,148,127,177.35968,Cluster 3
1139,45,7,25,20,73.995056,Cluster 3
1140,7,3,5,2,352.90582,Cluster 3
1145,44,5,23,21,78.25477,Cluster 3
1146,9,2,7,2,564.0808,Cluster 3
1147,16,2,9,7,462.539,Cluster 3
1150,18,7,9,9,101.800545,Cluster 3
1152,14,2,9,5,517.2084,Cluster 3
1153,41,16,24,17,435.3051,Cluster 3
1154,13,2,7,6,226.16292,Cluster 3
1155,57,18,31,26,288.78525,Cluster 3
1157,28,8,27,1,305.49515,Cluster 3
1158,6,3,4,2,41.972454,Cluster 3
1159,6,2,4,2,117.05007,Cluster 3
1160,72,5,37,35,86.19244,Cluster 3
1161,15,5,8,7,129.97104,Cluster 3
1162,39,8,20,19,516.0627,Cluster 3
1163,86,18,49,37,81.449974,Cluster 3
1164,134,19,96,38,357.7253,Cluster 3
1165,18,6,10,8,498.50043,Cluster 3
1166,19,5,11,8,532.378,Cluster 3
1167,46,2,24,22,138.88708,Cluster 3
1168,3,1,2,1,1047.7214,Cluster 3
1169,20,4,10,10,315.8035,Cluster 3
1171,48,10,46,2,1018.64655,Cluster 3
1172,4,2,3,1,0.07819445,Cluster 3
1173,10,5,6,4,972.7439,Cluster 3
1174,51,13,30,21,121.83165,Cluster 3
1175,7,5,5,2,485.88007,Cluster 3
1176,20,5,11,9,422.74084,Cluster 3
1177,122,17,63,59,218.59021,Cluster 3
1178,22,4,18,4,968.76697,Cluster 3
1179,7,2,4,3,799.86896,Cluster 3
1180,23,10,14,9,1044.4882,Cluster 3
1181,29,8,15,14,236.09152,Cluster 3
1182,34,13,21,13,250.81236,Cluster 3
1183,9,2,5,4,0.53879166,Cluster 3
1185,29,4,15,14,224.29349,Cluster 3
1188,166,32,103,63,255.92654,Cluster 3
1190,15,5,9,6,181.80191,Cluster 3
1191,30,15,20,10,14.728009,Cluster 3
1192,14,5,8,6,32.630833,Cluster 3
1194,27,9,15,12,641.55554,Cluster 3
1197,14,8,11,3,1002.25037,Cluster 3
1199,22,7,12,10,760.0093,Cluster 3
1200,25,12,15,10,15.538483,Cluster 3
1201,86,24,43,43,316.05737,Cluster 3
1202,6,4,4,2,179.02382,Cluster 3
1203,3,1,2,1,513.68054,Cluster 3
1204,12,4,7,5,655.5666,Cluster 3
1206,66,29,34,32,120.27755,Cluster 3
1208,6,2,3,3,1089.375,Cluster 3
1210,53,14,29,24,422.16528,Cluster 3
1211,22,1,11,11,159.2422,Cluster 3
1215,24,8,12,12,77.95714,Cluster 3
1216,24,7,13,11,312.30832,Cluster 3
1217,14,7,7,7,248.82175,Cluster 3
1218,20,3,10,10,283.99542,Cluster 3
1219,21,5,13,8,473.84924,Cluster 3
1220,15,8,8,7,387.44513,Cluster 3
1221,4,3,3,1,949.8711,Cluster 3
1222,91,18,47,44,260.54645,Cluster 3
1224,32,11,16,16,440.9124,Cluster 3
1226,28,7,18,10,103.317,Cluster 3
1227,150,16,85,65,496.85147,Cluster 3
1228,270,22,147,123,191.58165,Cluster 3
1229,20,6,10,10,90.3092,Cluster 3
1230,74,17,41,33,73.94371,Cluster 3
1231,123,29,66,57,125.94578,Cluster 3
1232,61,17,31,30,100.95725,Cluster 3
1233,37,14,20,17,195.41171,Cluster 3
1234,22,6,12,10,144.84877,Cluster 3
1235,52,16,27,25,183.16312,Cluster 3
1237,27,11,15,12,545.0411,Cluster 3
1238,18,6,9,9,98.40832,Cluster 3
1239,9,4,5,4,803.9897,Cluster 3
1240,20,5,12,8,169.03285,Cluster 3
1241,139,33,76,63,265.1748,Cluster 3
1244,90,17,48,42,311.50827,Cluster 3
1245,24,8,13,11,84.88169,Cluster 3
1246,4,2,3,1,56.0,Cluster 3
1247,5,3,4,1,207.37186,Cluster 3
1248,132,3,66,66,656.8682,Cluster 3
1250,82,11,78,4,533.3463,Cluster 3
1251,64,23,51,13,1066.4335,Cluster 3
1255,18,4,10,8,186.33957,Cluster 3
1256,13,3,7,6,582.7728,Cluster 3
1257,11,5,7,4,412.11633,Cluster 3
1258,3,2,2,1,0.09680556,Cluster 3
1259,4,2,2,2,82.96965,Cluster 3
1262,4,2,2,2,504.5,Cluster 3
1264,4,1,2,2,510.5789,Cluster 3
1265,33,12,20,13,41.63063,Cluster 3
1266,11,5,7,4,128.12854,Cluster 3
1267,102,18,51,51,118.62963,Cluster 3
1268,10,4,7,3,42.29073,Cluster 3
1269,13,3,8,5,38.823456,Cluster 3
1270,11,3,6,5,69.36449,Cluster 3
1271,9,5,5,4,677.965,Cluster 3
1272,22,3,11,11,64.4155,Cluster 3
1273,6,5,5,1,62.007915,Cluster 3
1274,137,31,70,67,195.67966,Cluster 3
1275,3,1,2,1,103.91037,Cluster 3
1276,16,7,8,8,484.8525,Cluster 3
1277,38,8,27,11,541.1387,Cluster 3
1278,3,1,2,1,392.41714,Cluster 3
1280,22,5,12,10,138.11859,Cluster 3
1282,8,4,4,4,356.755,Cluster 3
1283,105,11,58,47,152.064,Cluster 3
1284,7,3,4,3,5.51446,Cluster 3
1285,26,7,13,13,280.47205,Cluster 3
1287,35,11,19,16,144.44724,Cluster 3
1289,95,14,49,46,117.29083,Cluster 3
1290,20,8,11,9,767.01794,Cluster 3
1292,20,8,9,11,578.7081,Cluster 3
1293,39,11,22,17,66.49396,Cluster 3
1294,17,8,9,8,261.85913,Cluster 3
1295,29,9,26,3,328.75262,Cluster 3
1296,21,8,11,10,538.0095,Cluster 3
1297,41,6,24,17,530.9285,Cluster 3
1298,13,5,7,6,490.3499,Cluster 3
1299,10,2,5,5,319.55136,Cluster 3
1300,29,3,15,14,559.9488,Cluster 3
1301,16,6,10,6,153.36737,Cluster 3
1302,31,6,22,9,47.090225,Cluster 3
1303,56,2,28,28,109.394325,Cluster 3
1304,10,8,9,1,42.457985,Cluster 3
1305,205,14,104,101,42.420216,Cluster 3
1306,211,21,105,106,37.19838,Cluster 3
1307,30,9,15,15,188.99426,Cluster 3
1309,13,4,7,6,310.2316,Cluster 3
1310,21,9,11,10,267.44824,Cluster 3
1311,69,22,35,34,131.1097,Cluster 3
1312,50,9,26,24,171.40056,Cluster 3
1313,7,3,4,3,213.67508,Cluster 3
1314,8,2,4,4,725.7933,Cluster 3
1316,4,2,2,2,720.25006,Cluster 3
1318,32,6,16,16,267.40253,Cluster 3
1320,14,5,8,6,500.05627,Cluster 3
1321,11,5,7,4,370.63324,Cluster 3
1323,324,28,154,170,91.81793,Cluster 3
1324,139,34,79,60,285.08362,Cluster 3
1325,17,4,9,8,301.81805,Cluster 3
1326,186,28,105,81,200.28831,Cluster 3
1327,30,8,18,12,117.15296,Cluster 3
1328,5,2,3,2,690.679,Cluster 3
1330,19,7,11,8,758.5115,Cluster 3
1331,44,20,23,21,989.8363,Cluster 3
1332,13,4,8,5,210.17995,Cluster 3
1333,264,38,132,132,46.203793,Cluster 3
1334,7,2,5,2,265.35294,Cluster 3
1335,19,6,12,7,80.253815,Cluster 3
1336,23,7,14,9,801.6805,Cluster 3
1337,23,6,12,11,809.8356,Cluster 3
1338,12,4,7,5,677.83356,Cluster 3
1339,10,4,6,4,79.855156,Cluster 3
1341,28,9,16,12,454.50888,Cluster 3
1343,49,15,43,6,680.9409,Cluster 3
1345,37,8,25,12,70.57876,Cluster 3
1346,104,3,89,15,75.50796,Cluster 3
1348,5,1,3,2,835.2609,Cluster 3
1349,81,16,39,42,266.4644,Cluster 3
1350,5,3,3,2,17.974792,Cluster 3
1351,7,3,5,2,672.8984,Cluster 3
1352,7,3,4,3,12.148349,Cluster 3
1353,54,5,29,25,312.2648,Cluster 3
1355,45,18,23,22,216.53705,Cluster 3
1356,13,4,7,6,84.58722,Cluster 3
1359,39,14,19,20,212.48247,Cluster 3
1360,24,10,13,11,296.5356,Cluster 3
1361,16,6,8,8,748.28644,Cluster 3
1362,18,8,9,9,424.79184,Cluster 3
1365,2,1,1,1,168.68973,Cluster 3
1366,418,16,211,207,45.53409,Cluster 3
1367,31,3,28,3,157.177,Cluster 3
1368,131,21,69,62,165.64442,Cluster 3
1369,66,18,37,29,162.7577,Cluster 3
1370,4,2,3,1,0.7441667,Cluster 3
1371,133,11,86,47,153.97327,Cluster 3
1372,34,11,22,12,247.00433,Cluster 3
1373,22,5,12,10,319.5874,Cluster 3
1374,5,2,3,2,1051.29,Cluster 3
1375,64,16,39,25,483.37262,Cluster 3
1376,25,5,19,6,50.517735,Cluster 3
1377,7,5,6,1,0.22888888,Cluster 3
1380,11,7,7,4,693.3333,Cluster 3
1381,22,7,12,10,661.81946,Cluster 3
1383,84,17,59,25,563.52313,Cluster 3
1384,103,15,55,48,169.1811,Cluster 3
1385,3,2,2,1,0.6755555,Cluster 3
1386,145,15,73,72,25.59919,Cluster 3
1387,48,10,25,23,414.77017,Cluster 3
1388,17,4,15,2,969.77356,Cluster 3
1390,3,2,2,1,34.750973,Cluster 3
1391,33,14,17,16,255.22662,Cluster 3
1392,9,2,5,4,134.63199,Cluster 3
1395,23,7,14,9,114.19149,Cluster 3
1398,354,23,184,170,222.59244,Cluster 3
1399,52,14,26,26,454.31186,Cluster 3
1400,7,4,4,3,2.4189816,Cluster 3
1401,35,11,18,17,155.19487,Cluster 3
1402,10,4,5,5,562.9292,Cluster 3
1404,37,7,19,18,88.91451,Cluster 3
1405,29,15,15,14,175.85902,Cluster 3
1406,40,10,25,15,302.25272,Cluster 3
1407,17,8,9,8,328.09372,Cluster 3
1410,4,1,2,2,623.80194,Cluster 3
1411,370,17,183,187,351.64853,Cluster 3
1413,11,5,9,2,712.12494,Cluster 3
1415,25,7,15,10,476.2313,Cluster 3
1416,57,13,45,12,422.3789,Cluster 3
1418,18,6,9,9,5.8930864,Cluster 3
1420,30,6,25,5,1119.1781,Cluster 3
1421,22,8,16,6,0.2345679,Cluster 3
1422,6,4,4,2,576.481,Cluster 3
1424,25,4,14,11,377.9844,Cluster 3
1425,30,13,17,13,534.74835,Cluster 3
1426,23,5,14,9,213.27017,Cluster 3
1427,84,13,61,23,376.73428,Cluster 3
1429,17,4,9,8,22.061787,Cluster 3
1431,2,1,1,1,0.4861111,Cluster 3
1432,35,4,32,3,593.43207,Cluster 3
1433,68,11,32,36,87.977104,Cluster 3
1434,23,9,14,9,496.0991,Cluster 3
1437,31,9,20,11,122.00798,Cluster 3
1438,3,1,2,1,312.33325,Cluster 3
1439,8,4,5,3,639.4382,Cluster 3
1440,37,13,19,18,565.20465,Cluster 3
1443,78,10,44,34,85.803665,Cluster 3
1444,16,6,12,4,450.01425,Cluster 3
1445,559,19,368,191,26.758455,Cluster 3
1447,55,16,28,27,374.0277,Cluster 3
1448,5,3,3,2,1.0924306,Cluster 3
1449,220,15,180,40,59.23811,Cluster 3
1451,21,4,13,8,209.65233,Cluster 3
1452,14,4,7,7,147.4826,Cluster 3
1453,12,4,7,5,61.04958,Cluster 3
1454,17,4,10,7,100.494774,Cluster 3
1455,9,5,5,4,458.89136,Cluster 3
1457,6,3,5,1,0.037638888,Cluster 3
1458,10,2,5,5,64.864586,Cluster 3
1460,6,3,3,3,1.7794907,Cluster 3
1461,22,7,11,11,340.1501,Cluster 3
1462,15,6,8,7,398.14197,Cluster 3
1463,21,7,12,9,27.244312,Cluster 3
1464,23,6,13,10,230.21436,Cluster 3
1465,12,8,8,4,999.4744,Cluster 3
1466,87,30,44,43,20.621534,Cluster 3
1467,39,8,27,12,486.3631,Cluster 3
1469,33,15,20,13,368.4274,Cluster 3
1471,14,7,7,7,630.7493,Cluster 3
1472,28,13,14,14,121.84721,Cluster 3
1475,27,9,14,13,62.21589,Cluster 3
1476,22,4,12,10,330.55548,Cluster 3
1477,17,9,9,8,108.52892,Cluster 3
1478,18,3,11,7,1083.1592,Cluster 3
1480,63,7,46,17,112.97707,Cluster 3
1481,90,25,74,16,511.06152,Cluster 3
1484,4,2,2,2,534.76263,Cluster 3
1485,44,5,28,16,107.61743,Cluster 3
1486,2,1,1,1,577.1665,Cluster 3
1487,4,2,2,2,168.33264,Cluster 3
1488,15,5,8,7,8.755722,Cluster 3
1491,29,5,16,13,413.51782,Cluster 3
1493,6,3,4,2,109.9041,Cluster 3
1494,24,9,12,12,596.58234,Cluster 3
1495,99,20,51,48,127.38201,Cluster 3
1496,162,18,82,80,208.80089,Cluster 3
1498,30,7,20,10,727.47845,Cluster 3
1499,19,3,9,10,442.57123,Cluster 3
1500,23,7,12,11,602.28406,Cluster 3
1502,49,14,33,16,832.9255,Cluster 3
1503,13,3,7,6,301.0687,Cluster 3
1505,17,7,9,8,2.3268533,Cluster 3
1506,497,23,255,242,96.183685,Cluster 3
1507,26,6,13,13,288.49518,Cluster 3
1508,28,8,20,8,675.9895,Cluster 3
1509,15,6,8,7,283.18362,Cluster 3
1510,78,23,39,39,856.9281,Cluster 3
1511,4,2,2,2,870.5978,Cluster 3
1512,60,14,31,29,159.6455,Cluster 3
1513,34,12,17,17,364.42297,Cluster 3
1515,47,5,25,22,70.78827,Cluster 3
1516,39,12,21,18,375.90137,Cluster 3
1519,129,1,65,64,34.587532,Cluster 3
1520,21,5,10,11,556.92053,Cluster 3
1521,79,24,41,38,147.64264,Cluster 3
1522,24,10,12,12,64.3849,Cluster 3
1524,66,9,56,10,535.0063,Cluster 3
1525,32,6,16,16,449.58194,Cluster 3
1526,34,9,18,16,302.94025,Cluster 3
1527,70,16,43,27,152.03859,Cluster 3
1528,9,4,5,4,576.9996,Cluster 3
1529,17,8,11,6,596.8718,Cluster 3
1530,45,17,23,22,336.94952,Cluster 3
1531,135,20,86,49,85.29915,Cluster 3
1533,47,10,37,10,411.5953,Cluster 3
1535,13,5,7,6,276.26456,Cluster 3
1536,15,6,9,6,51.07227,Cluster 3
1537,5,2,3,2,466.49286,Cluster 3
1538,7,4,4,3,436.05603,Cluster 3
1540,10,5,7,3,400.3251,Cluster 3
1541,25,8,15,10,92.02688,Cluster 3
1542,15,6,9,6,763.26685,Cluster 3
1543,377,35,199,178,15.04528,Cluster 3
1544,7,4,6,1,0.14152777,Cluster 3
1545,22,2,13,9,310.27646,Cluster 3
1546,73,17,35,38,58.62101,Cluster 3
1547,19,8,10,9,502.90775,Cluster 3
1550,11,4,7,4,294.44,Cluster 3
1551,6,3,4,2,6.228125,Cluster 3
1552,5,2,3,2,4.5588193,Cluster 3
1553,11,4,6,5,73.29525,Cluster 3
1554,111,20,79,32,281.19254,Cluster 3
1556,6,3,3,3,443.32864,Cluster 3
1558,129,19,72,57,129.65616,Cluster 3
1559,29,8,15,14,136.33707,Cluster 3
1560,5,3,4,1,6.499514,Cluster 3
1561,5,3,3,2,348.91895,Cluster 3
1562,414,23,309,105,112.975845,Cluster 3
1563,15,4,14,1,423.51373,Cluster 3
1564,12,4,8,4,996.3333,Cluster 3
1565,10,5,5,5,583.2079,Cluster 3
1566,40,12,21,19,74.33764,Cluster 3
1567,77,13,39,38,262.86905,Cluster 3
1568,6,3,3,3,3.9921296,Cluster 3
1569,34,10,19,15,420.04974,Cluster 3
1570,6,3,3,3,240.81949,Cluster 3
1571,46,12,26,20,284.68478,Cluster 3
1572,26,6,22,4,663.7633,Cluster 3
1574,37,8,19,18,248.14055,Cluster 3
1576,18,7,9,9,615.8971,Cluster 3
1577,70,22,41,29,474.2239,Cluster 3
1579,13,3,9,4,50.951305,Cluster 3
1580,3,1,2,1,136.3925,Cluster 3
1581,17,3,9,8,48.766644,Cluster 3
1582,36,13,19,17,194.33788,Cluster 3
1583,17,6,11,6,237.00403,Cluster 3
1584,115,12,81,34,201.90755,Cluster 3
1587,135,22,78,57,164.74472,Cluster 3
1588,3,1,2,1,288.00018,Cluster 3
1589,364,23,234,130,238.63263,Cluster 3
1590,17,5,11,6,173.2957,Cluster 3
1591,34,12,19,15,461.59976,Cluster 3
1592,18,9,10,8,542.6564,Cluster 3
1593,38,6,27,11,320.2734,Cluster 3
1594,37,14,20,17,100.35148,Cluster 3
1595,84,20,40,44,344.16965,Cluster 3
1596,7,2,4,3,233.96706,Cluster 3
1597,48,7,25,23,142.03639,Cluster 3
1598,12,4,7,5,188.52003,Cluster 3
1599,10,2,6,4,172.95758,Cluster 3
1600,19,9,10,9,174.14394,Cluster 3
1601,9,3,5,4,567.5741,Cluster 3
1602,4,2,3,1,128.10648,Cluster 3
1604,9,6,8,1,258.90085,Cluster 3
1605,165,13,89,76,218.10098,Cluster 3
1606,4,2,3,1,56.333332,Cluster 3
1609,7,5,5,2,497.015,Cluster 3
1611,23,5,14,9,669.92377,Cluster 3
1612,399,29,200,199,166.20232,Cluster 3
1613,9,2,8,1,521.21735,Cluster 3
1614,25,6,14,11,562.7624,Cluster 3
1616,27,5,16,11,120.07227,Cluster 3
1617,12,4,9,3,631.39453,Cluster 3
1618,10,3,5,5,712.1665,Cluster 3
1619,278,27,169,109,159.30324,Cluster 3
1621,104,11,78,26,226.54147,Cluster 3
1622,103,12,51,52,215.13928,Cluster 3
1623,21,7,11,10,139.36136,Cluster 3
1624,218,10,168,50,135.83237,Cluster 3
1625,5,3,3,2,455.5341,Cluster 3
1626,337,27,176,161,90.6215,Cluster 3
1627,33,5,18,15,460.65494,Cluster 3
1628,78,16,46,32,36.627834,Cluster 3
1630,29,5,27,2,362.18076,Cluster 3
1631,5,2,3,2,349.99994,Cluster 3
1634,37,6,31,6,738.0915,Cluster 3
1635,6,4,4,2,503.2856,Cluster 3
1636,32,4,19,13,298.6861,Cluster 3
1637,3,1,2,1,471.9999,Cluster 3
1638,10,4,5,5,627.2658,Cluster 3
1640,53,6,38,15,140.8156,Cluster 3
1641,72,19,36,36,120.30501,Cluster 3
1642,22,4,14,8,197.50618,Cluster 3
1644,4,2,2,2,731.3376,Cluster 3
1647,332,15,240,92,101.0467,Cluster 3
1649,35,18,18,17,187.6361,Cluster 3
1651,53,6,51,2,303.39948,Cluster 3
1652,8,2,4,4,563.94635,Cluster 3
1654,26,5,13,13,8.040449,Cluster 3
1655,36,7,22,14,510.39624,Cluster 3
1656,363,10,358,5,119.09688,Cluster 3
1657,38,4,19,19,100.416245,Cluster 3
1659,28,7,16,12,441.1683,Cluster 3
1661,9,4,5,4,219.51291,Cluster 3
1662,2,1,1,1,0.47194445,Cluster 3
1663,41,5,37,4,324.0727,Cluster 3
1665,94,12,48,46,168.99133,Cluster 3
1666,6,2,4,2,297.1421,Cluster 3
1667,9,5,5,4,193.86743,Cluster 3
1668,6,3,5,1,0.011898148,Cluster 3
1669,8,5,5,3,968.29016,Cluster 3
1670,19,4,15,4,964.3347,Cluster 3
1671,40,13,33,7,1074.88,Cluster 3
1672,19,3,10,9,326.7778,Cluster 3
1673,62,17,34,28,221.14311,Cluster 3
1674,13,5,7,6,306.93274,Cluster 3
1675,17,8,9,8,375.25128,Cluster 3
1677,20,10,10,10,81.84964,Cluster 3
1679,14,7,8,6,538.5803,Cluster 3
1680,146,26,92,54,268.51074,Cluster 3
1681,11,4,7,4,60.505775,Cluster 3
1682,4,1,3,1,203.74646,Cluster 3
1683,37,13,21,16,284.81778,Cluster 3
1685,20,8,11,9,0.42391536,Cluster 3
1686,67,11,51,16,308.4991,Cluster 3
1687,19,6,10,9,426.08136,Cluster 3
1688,10,5,9,1,1053.3419,Cluster 3
1689,36,14,18,18,146.23183,Cluster 3
1690,19,5,11,8,166.61436,Cluster 3
1691,5,4,4,1,0.31819445,Cluster 3
1692,120,10,61,59,87.587166,Cluster 3
1693,48,14,24,24,359.28125,Cluster 3
1694,16,7,9,7,179.0521,Cluster 3
1695,7,2,5,2,52.09293,Cluster 3
1696,75,10,41,34,188.1712,Cluster 3
1697,7,3,4,3,114.0529,Cluster 3
1698,25,9,13,12,364.76822,Cluster 3
1699,33,8,25,8,912.8401,Cluster 3
1700,7,3,4,3,244.65236,Cluster 3
1701,38,13,24,14,769.4527,Cluster 3
1702,69,18,38,31,127.19874,Cluster 3
1703,13,4,6,7,837.3988,Cluster 3
1704,7,3,4,3,221.40529,Cluster 3
1705,35,14,18,17,419.37006,Cluster 3
1706,72,10,39,33,74.45355,Cluster 3
1707,18,8,10,8,88.68027,Cluster 3
1708,2,1,1,1,0.45972222,Cluster 3
1709,6,1,3,3,31.836805,Cluster 3
1710,185,33,99,86,335.434,Cluster 3
1712,113,33,57,56,267.62537,Cluster 3
1714,59,13,33,26,187.26993,Cluster 3
1715,10,4,5,5,129.57486,Cluster 3
1716,36,12,20,16,261.0262,Cluster 3
1717,85,27,50,35,281.50513,Cluster 3
1718,15,7,8,7,917.7079,Cluster 3
1719,35,15,19,16,318.95477,Cluster 3
1720,111,14,65,46,152.73563,Cluster 3
1721,16,5,10,6,60.026905,Cluster 3
1723,218,14,113,105,57.091183,Cluster 3
1724,82,8,50,32,385.03754,Cluster 3
1725,35,5,21,14,211.57088,Cluster 3
1726,6,2,4,2,203.73566,Cluster 3
1728,2,1,1,1,610.9021,Cluster 3
1729,19,7,11,8,216.75296,Cluster 3
1730,177,26,97,80,247.4983,Cluster 3
1731,2,1,1,1,23.9775,Cluster 3
1732,65,7,37,28,22.689915,Cluster 3
1736,199,36,102,97,112.82345,Cluster 3
1737,2,1,1,1,1044.0886,Cluster 3
1739,59,15,30,29,6.3839126,Cluster 3
1740,58,14,36,22,485.9634,Cluster 3
1742,109,14,55,54,69.527855,Cluster 3
1745,5,3,3,2,982.1326,Cluster 3
1746,245,14,172,73,255.64232,Cluster 3
1747,13,2,7,6,258.4483,Cluster 3
1748,4,3,3,1,0.3036111,Cluster 3
1750,24,6,12,12,185.3503,Cluster 3
1751,59,23,29,30,586.5629,Cluster 3
1752,65,9,55,10,213.68286,Cluster 3
1753,20,7,11,9,707.203,Cluster 3
1754,17,5,11,6,677.033,Cluster 3
1756,9,3,5,4,406.64465,Cluster 3
1757,7,4,6,1,264.33875,Cluster 3
1759,59,15,30,29,176.98538,Cluster 3
